pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	0.0355532984127721	0.292384815278222	0.321775918075361	0.477681264557091	1.52413194537075	35	PSMD3;PSMB5;PSMD11;PSMD8;PSMA3;PSMD7;PSMD14;PSMC5;PSMA6;PSMA2;PSMB6;PSMD2;PSMB7;PSMC1;PSMB3;PSMD12;PSMD1;PSMA1;PSMA8;PSMA5;PSMB4;PSMD4;PSMB1	non-significant
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	0.0306219051820411	0.266169047301831	0.352487857583619	0.464683131427922	1.52041973506716	40	PSMD3;PSMB5;PSMD11;PSMD8;PSMA3;PSMD7;DERL1;PSMD14;PSMC5;PSMA6;PSMA2;PSMB6;PSMD2;PSMB7;RPS27A;PSMC1;PSMB3;PSMD12;PSMD1;PSMA1;UBC;PSMA8;PSMA5;PSMB4;PSMD4;PSMB1;UBA52	non-significant
KEGG_MEDICUS_PATHOGEN_KSHV_VCYCLIN_TO_CELL_CYCLE_G1_S	0.0431778929188256	0.322013442370518	0.287857117255149	0.742287889322371	1.51061022853982	6	E2F1;E2F2;E2F3	non-significant
KEGG_MEDICUS_REFERENCE_TNF_P38_SIGNALING_PATHWAY	0.0577223088923557	0.365839243498818	0.234392647294686	0.508703718874326	1.51040606954116	24	ATF4;MAP2K3;RPS6KA5;CREB3L4;CREB3L2;CREB3L1;MAP2K6;RPS6KA4;CREB3L3;TAB1;CREB1;TRADD;CREB5;TRAF2;ATF2;MAPK14;TAB2;ATF6B;RIPK1	non-significant
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	0.0386398763523957	0.306642095668371	0.287857117255149	0.472040878745901	1.50613523325975	35	PSMD3;PSMB5;PSMD11;PSMD8;PSMA3;PSMD7;PSMD14;PSMC5;PSMA6;PSMA2;PSMB6;PSMD2;PSMB7;PSMC1;PSMB3;PSMD12;PSMD1;PSMA1;PSMA8;PSMA5;PSMB4;PSMD4;PSMB1;PRNP	non-significant
KEGG_MEDICUS_REFERENCE_SIALYL_LEWIS_X_ANTIGEN_BIOSYNTHESIS	0.0483592400690846	0.332604106697371	0.271288554688953	0.73706193968201	1.49997503821256	6	FUT3;FUT6;FUT4;FUT5;FUT7	non-significant
KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPG_TO_MICROTUBULE_RHOA_SIGNALING_PATHWAY	0.0580847723704867	0.365839243498818	0.234392647294686	0.552248219134108	1.49901225181007	16	TUBA4A;TUBB4B;TUBB1;TUBB3;TUBA1B;TUBA1C	non-significant
KEGG_MEDICUS_REFERENCE_II_BLOOD_GROUP_ANTIGEN_BIOSYNTHESIS	0.0587219343696028	0.365839243498818	0.245041785430996	0.69744079246942	1.49479706639889	7	B3GNT3;B4GALT3;B3GNT2	non-significant
KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION	0.0636942675159236	0.375492872308159	0.224966093540314	0.511035061689314	1.4907287980103	22	TUBA4A;AURKA;TUBB4B;TUBB1;TUBB3;TUBA1B;TUBA1C;CLTC	non-significant
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	0.0612244897959184	0.373252782353632	0.227987202850442	0.544861144618548	1.47896091471166	16	NCF2;NCF1;CYBA;NCF4;CYBB	non-significant
