pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
HALLMARK_HEME_METABOLISM	0.911251980982567	0.911251980982567	0.0392758570896778	-0.20279542787089	-0.810626332709983	189	HBB;TRIM58;BLVRB;HBD;HAGH;VEZF1;BLVRA;NUDT4;MBOAT2;TRAK2;HEBP1;RAP1GAP;TMEM9B;TSPAN5;ABCB6;ALDH6A1;PIGQ;PGLS;ARL2BP;ABCG2;TAL1;SELENBP1;SLC22A4;TNS1;KLF3;GDE1;DAAM1;FECH;BCAM;HBQ1;GYPA;SYNJ1;BNIP3L	non-significant
HALLMARK_HEDGEHOG_SIGNALING	0.6286701208981	0.66006600660066	0.0603786357920401	-0.292463092940346	-0.888556695025066	35	GLI1;CELSR1;HEY1;CRMP1;THY1;TLE3;RASA1	non-significant
HALLMARK_PROTEIN_SECRETION	0.633663366336634	0.66006600660066	0.0578529757032509	-0.257212422101124	-0.937451856847789	94	KRT18;TOM1L1;TSPAN8;SCAMP1;SOD1;GALC;SCRN1;RAB22A;SSPN;ARFIP1;STX16;TSG101;ICA1;CAV2;AP2B1;TPD52;SGMS1;CLN5;SH3GL2	non-significant
HALLMARK_NOTCH_SIGNALING	0.530329289428076	0.589254766031196	0.0687943095604775	-0.315869966668869	-0.943688935679112	32	CCND1;SKP1;WNT5A;LFNG;ARRB1;HEYL;DLL1	non-significant
HALLMARK_PEROXISOME	0.40625	0.467566287878788	0.0797705918628453	-0.279565484871939	-1.02906435123664	104	ABCC8;SULT2B1;PEX11A;SEMA3C;CRAT;SLC27A2;DHCR24;ELOVL5;ISOC1;ABCC5;SOD1;LONP2;SERPINA6;CRABP2;HRAS;ALB;ACOX1;RDH11;HMGCL;DIO1;CDK7;SLC25A4;ECI2;CLN8;TTR	non-significant
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.116719242902208	0.166741775574583	0.161978948883402	-0.298248315930555	-1.190258323765	184	COX6C;ACADSB;PDK4;CYB5A;NDUFC2;NDUFA2;ATP6V1G1;GPX4;CPT1A;MRPS30;ETFB;ATP6V1D;ATP6AP1;UQCRQ;TIMM13;HSPA9;ALDH6A1;NDUFB4;NDUFB1;NDUFA7;COX17;UQCRB;COX7C;ETFDH;PDHB;UQCR11;ECI1;COX5A;NDUFA6;ACAA2;SURF1;SLC25A4;COX6A1;RHOT2;GRPEL1;CYC1;PRDX3;COX11;GLUD1;ATP6V1C1;GOT2;MRPL34;NDUFS8;SUCLA2;SLC25A6;CASP7;NDUFS4;NDUFC1	non-significant
HALLMARK_XENOBIOTIC_METABOLISM	0.104524180967239	0.153720024595204	0.170932335370056	-0.299204706513477	-1.20604894355396	194	ACOX2;ESR1;NQO1;FBP1;UGDH;BLVRB;MAOA;ABCC3;PDK4;FAH;ACSM1;CYB5A;DCXR;IGFBP4;CD36;NINJ1;ELOVL5;KYNU;RAP1GAP;MCCC2;CDO1;HES6;SERPINA6;CSAD;GSTT2;ABHD6;CYP26A1;PTGES3;CROT;ETFDH;MPP2;GNMT;FBLN1;GSS;ACOX1	non-significant
HALLMARK_COAGULATION	0.0861244019138756	0.136325503355705	0.191892240384838	-0.322199879353604	-1.24695777181695	137	ACOX2;PLAT;COMP;MMP11;HTRA1;TIMP3;PRSS23;FBN1;SPARC;HPN;CFD;MMP10;TFPI2;TMPRSS6;ITGA2;CTSK;CRIP2;MMP14;OLR1;F2RL2;MMP2;FGG;THBS1;F12;CTSO;GNG12;FN1	non-significant
HALLMARK_PANCREAS_BETA_CELLS	0.141623488773748	0.188468518777049	0.153158808683073	-0.409924231779607	-1.27362259685332	40	SYT13;ABCC8;SCGN;STXBP1;SRP9;ELP4;PCSK2;SRP14;GCG;NKX2-2	non-significant
HALLMARK_BILE_ACID_METABOLISM	0.0810372771474878	0.135062128579146	0.199915231309662	-0.340666747107045	-1.27424004559891	112	AR;PEX11G;NUDT12;FDXR;SULT2B1;PEX11A;SLC27A2;ABCA3;DHCR24;LIPE;SLC22A18;PEX16;ISOC1;SOD1;LONP2;SERPINA6;HSD3B1;NEDD4;ABCA5;CROT;GNMT;PFKM;ABCA9;DIO1;AKR1D1;BCAR3;PEX7;PEX19;DIO2;TTR;PEX12;HSD17B6;PECR;ATXN1;AMACR;PXMP2;ABCA6;SCP2;ABCA2;HSD17B4;APOA1;RXRA;EPHX2;NR3C2;ABCD3	non-significant
